,x_i,sum1,sum2
0,10.0,6.165599504785763,6.165599504785766
1,10.1,6.208935230052731,6.208935230052731
2,10.2,6.252085806000186,6.252085806000187
3,10.299999999999999,6.295054600235207,6.295054600235205
4,10.399999999999999,6.337844880811008,6.337844880811009
5,10.499999999999998,6.380459820244785,6.380459820244784
6,10.599999999999998,6.422902499331502,6.422902499331502
7,10.699999999999998,6.465175910766156,6.465175910766155
8,10.799999999999997,6.507282962585994,6.507282962585992
9,10.899999999999997,6.549226481443434,6.549226481443434
10,10.999999999999996,6.59100921571968,6.591009215719679
11,11.099999999999996,6.632633838488328,6.632633838488327
12,11.199999999999996,6.67410295033764,6.674102950337644
13,11.299999999999995,6.715419082059591,6.715419082059591
14,11.399999999999995,6.756584697213187,6.756584697213187
15,11.499999999999995,6.797602194569188,6.797602194569188
16,11.599999999999994,6.838473910442762,6.838473910442763
17,11.699999999999994,6.879202120920261,6.87920212092026
18,11.799999999999994,6.919789043985901,6.919789043985902
19,11.899999999999993,6.960236841553745,6.960236841553746
20,11.999999999999993,7.000547621410035,7.000547621410034
21,12.099999999999993,7.040723439070656,7.040723439070655
22,12.199999999999992,7.080766299558188,7.080766299558189
23,12.299999999999992,7.120678159102692,7.120678159102694
24,12.399999999999991,7.16046092677021,7.16046092677021
25,12.499999999999991,7.200116466022649,7.200116466022649
26,12.59999999999999,7.239646596212519,7.239646596212519
27,12.69999999999999,7.27905309401583,7.279053094015831
28,12.79999999999999,7.318337694806192,7.318337694806191
29,12.89999999999999,7.357502093973013,7.357502093973014
30,12.99999999999999,7.39654794818659,7.39654794818659
31,13.099999999999989,7.435476876612581,7.435476876612581
32,13.199999999999989,7.474290462078383,7.474290462078383
33,13.299999999999988,7.512990252193633,7.512990252193633
34,13.399999999999988,7.551577760427047,7.551577760427048
35,13.499999999999988,7.590054467141653,7.590054467141654
36,13.599999999999987,7.628421820590304,7.628421820590303
37,13.699999999999987,7.66668123787335,7.66668123787335
38,13.799999999999986,7.704834105860213,7.70483410586021
39,13.899999999999986,7.742881782076423,7.742881782076423
40,13.999999999999986,7.780825595557785,7.780825595557786
41,14.099999999999985,7.818666847673064,7.818666847673064
42,14.199999999999985,7.85640681291659,7.856406812916589
43,14.299999999999985,7.894046739672176,7.894046739672175
44,14.399999999999984,7.931587850949508,7.931587850949509
45,14.499999999999984,7.96903134509428,7.96903134509428
46,14.599999999999984,8.006378396473144,8.006378396473142
47,14.699999999999983,8.043630156134572,8.043630156134576
48,14.799999999999983,8.080787752446712,8.080787752446712
49,14.899999999999983,8.117852291713051,8.117852291713051
50,14.999999999999982,8.154824858767004,8.154824858767004
51,15.099999999999982,8.191706517546155,8.191706517546157
52,15.199999999999982,8.228498311647053,8.228498311647051
53,15.299999999999981,8.265201264861338,8.265201264861336
54,15.39999999999998,8.301816381693987,8.301816381693989
55,15.49999999999998,8.338344647864353,8.338344647864352
56,15.59999999999998,8.374787030790696,8.374787030790696
57,15.69999999999998,8.411144480058903,8.411144480058907
58,15.79999999999998,8.447417927875993,8.447417927875994
59,15.899999999999979,8.483608289508943,8.48360828950894
60,15.999999999999979,8.519716463709521,8.519716463709518
61,16.09999999999998,8.555743333125616,8.55574333312562
62,16.19999999999998,8.591689764699543,8.591689764699542
63,16.299999999999983,8.627556610053825,8.627556610053825
64,16.399999999999984,8.663344705865056,8.663344705865052
65,16.499999999999986,8.699054874226064,8.699054874226062
66,16.599999999999987,8.734687922997066,8.734687922997063
67,16.69999999999999,8.770244646145974,8.770244646145976
68,16.79999999999999,8.805725824078499,8.805725824078495
69,16.89999999999999,8.841132223958157,8.841132223958155
70,16.999999999999993,8.876464600016845,8.876464600016849
71,17.099999999999994,8.911723693856068,8.91172369385607
72,17.199999999999996,8.946910234739278,8.946910234739278
73,17.299999999999997,8.982024939875648,8.982024939875645
74,17.4,9.017068514695541,9.017068514695545
75,17.5,9.052041653118017,9.05204165311802
76,17.6,9.086945037810546,9.086945037810546
77,17.700000000000003,9.121779340441373,9.121779340441371
78,17.800000000000004,9.15654522192464,9.156545221924638
79,17.900000000000006,9.191243332658592,9.191243332658594
80,18.000000000000007,9.225874312757064,9.225874312757066
81,18.10000000000001,9.260438792274503,9.260438792274499
82,18.20000000000001,9.294937391424712,9.294937391424716
83,18.30000000000001,9.329370720793639,9.32937072079364
84,18.400000000000013,9.363739381546173,9.36373938154617
85,18.500000000000014,9.398043965627414,9.39804396562741
86,18.600000000000016,9.43228505595844,9.432285055958438
87,18.700000000000017,9.46646322662679,9.466463226626788
88,18.80000000000002,9.500579043071811,9.500579043071813
89,18.90000000000002,9.534633062265128,9.534633062265128
90,19.00000000000002,9.568625832886246,9.568625832886244
91,19.100000000000023,9.60255789549357,9.602557895493574
92,19.200000000000024,9.636429782690954,9.636429782690957
93,19.300000000000026,9.67024201928986,9.670242019289862
94,19.400000000000027,9.70399512246733,9.70399512246733
95,19.50000000000003,9.737689601919913,9.737689601919914
96,19.60000000000003,9.77132596001361,9.771325960013614
97,19.70000000000003,9.804904691930027,9.804904691930025
98,19.800000000000033,9.838426285808762,9.83842628580876
99,19.900000000000034,9.871891222886292,9.871891222886292
